	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	price	minimum_nights	number_of_reviews	calculated_host_listings_count	availability_365	cancellation_policy	guests_included	bedrooms	risk_rating
7022	43115831	300669226	0	23	1.2752700000000001	103.84209	82	10	0	2	358	2	1	1	0
7023	43118642	156409670	0	4	1.28591	103.83358	150	30	0	103	364	2	1	1	1
7024	43120200	158218013	0	10	1.27504	103.84492	78	7	0	10	85	2	2	1	0
7025	43120225	158218013	0	10	1.27643	103.84496	73	7	0	10	84	2	2	1	0
7026	43120283	138649185	0	4	1.28447	103.83386	150	30	0	99	364	2	1	1	1
7027	43120435	156409670	0	27	1.3029899999999999	103.78282	184	30	0	103	364	2	1	2	1
7028	43120799	156409670	0	10	1.27915	103.84656	175	28	0	103	364	2	1	1	0
7029	43121186	156409670	0	10	1.27603	103.84536	167	28	0	103	364	2	1	1	0
7030	43121342	156409670	0	10	1.2752299999999999	103.84683000000001	170	28	0	103	364	2	1	1	0
7031	43129509	138649185	4	13	1.3346200000000001	103.742	150	28	0	99	364	2	1	1	0
7032	43129581	156409670	0	37	1.3219	103.81609	225	26	0	103	364	2	1	1	0
7033	43129915	138649185	0	27	1.2952	103.80579	194	28	0	99	364	2	1	2	0
7034	43130054	156409670	0	23	1.28189	103.84523	159	27	0	103	364	2	1	1	0
7035	43130372	156409670	0	27	1.27995	103.78768000000001	136	26	0	103	364	2	1	1	0
7036	43136222	156409670	0	37	1.31409	103.82681	165	28	0	103	364	2	1	1	0
7037	43137062	138649185	0	37	1.29574	103.82916	200	28	0	99	364	2	1	2	0
7038	43137994	138649185	0	29	1.30193	103.86206	187	28	0	99	364	2	1	2	0
7039	43142264	145253549	4	3	1.35238	103.75974000000001	150	90	0	1	365	2	1	3	1
7040	43142587	238195069	0	10	1.29808	103.85629	79	1	0	6	0	2	1	1	0
7041	43142625	792539	0	11	1.31641	103.89329000000001	240	90	0	1	0	0	1	2	1
7042	43142762	238195069	0	10	1.2967899999999999	103.8554	80	1	0	6	0	2	1	1	0
7043	43142833	238195069	0	10	1.29803	103.85715	80	1	1	6	0	2	1	1	0
7044	43142967	14818409	0	21	1.31762	103.84538	150	7	0	17	363	1	5	2	0
7045	43143057	14818409	0	21	1.31714	103.8444	150	3	0	17	356	1	7	3	0
7046	43143093	141641777	0	21	1.31731	103.84392	130	7	0	16	356	1	7	3	0
7047	43143215	55844797	0	29	1.30055	103.85059	120	6	0	5	263	2	1	1	0
7048	43143220	261751524	0	21	1.31746	103.84445	150	3	0	15	363	1	5	3	0
7049	43144713	138649185	0	28	1.29336	103.83952	214	28	0	99	364	2	1	2	0
7050	43145222	138649185	0	23	1.28198	103.84695	160	25	0	99	364	2	1	1	0
7051	43145328	138649185	0	33	1.2954299999999999	103.83225	247	26	0	99	364	2	1	3	0
7052	43145924	138649185	0	37	1.31302	103.82633	175	26	0	99	364	2	1	0	0
7053	43154602	343559915	0	10	1.28403	103.85901	300	1	0	1	365	2	1	1	0
7054	43155941	201034613	0	15	1.3286200000000001	103.8652	189	20	0	54	365	2	4	2	0
7055	43160385	138649185	0	37	1.3219999999999998	103.81445	231	25	0	99	364	2	1	1	0
7056	43160894	138649185	0	27	1.28186	103.78653	124	27	0	99	364	2	1	1	0
7057	43161348	61619807	0	28	1.29608	103.84029	138	2	0	38	362	2	2	1	0
7058	43162422	40375561	0	10	1.29915	103.85765	136	30	0	2	365	0	1	1	1
7060	43175252	178584113	0	10	1.27649	103.84868	295	1	0	6	324	0	1	1	0
7061	43175257	234870042	0	15	1.32945	103.86447	168	29	0	37	361	2	6	3	0
7062	43175289	178584113	0	10	1.27748	103.84794000000001	319	1	0	6	324	0	1	1	0
7063	43177325	216737476	0	15	1.3199299999999998	103.86215	48	1	2	1	49	1	1	1	0
7064	43180269	339298127	4	9	1.31925	103.76116	224	7	0	12	91	0	1	3	0
7065	43183001	234870042	0	15	1.3227799999999998	103.86482	101	84	0	37	245	2	2	1	1
7066	43183219	156409670	4	13	1.33656	103.7432	150	28	0	103	364	2	1	1	0
